,Fuel,Driven,Automatic,Owner,Location,Price,Brand,Years
0,Petrol,80631.0,Manual,1,HR,981699,Hyundai,3
1,Petrol,12981.0,Manual,2,HR,1155299,KIA,2
2,Petrol,22388.0,Manual,1,DL,279799,Renault,6
3,Petrol,36806.0,Automatic,1,UP,2133299,Mercedes,8
4,Petrol,21784.0,Automatic,2,HR,1429999,KIA,2
5,Petrol,20330.0,Manual,1,DL,524799,Maruti,4
6,Petrol,54723.0,Manual,1,DL,266099,Maruti,11
7,Petrol,47547.0,Manual,1,DL,190999,Hyundai,11
8,Diesel,28289.0,Automatic,2,DL,1645899,Jaguar,9
9,Petrol,40369.0,Manual,1,UP,242399,Maruti,9
10,Petrol,44319.0,Manual,1,UP,204199,Hyundai,13
11,Petrol,23277.0,Manual,1,DL,221199,Maruti,11
12,Petrol,32251.0,Manual,1,UP,560399,Maruti,3
13,Diesel,46400.0,Manual,1,HR,2019999,Jeep,3
14,Petrol,21490.0,Manual,1,UP,821399,Hyundai,1
15,Petrol,2775.0,Manual,1,UP,1837899,MG,2
16,Petrol,22505.0,Manual,2,HR,322499,Renault,4
17,Petrol,22638.0,Manual,2,DL,617899,Hyundai,3
18,Petrol,28843.0,Automatic,1,DL,353399,Hyundai,9
19,Diesel,63433.0,Manual,1,DL,275299,Nissan,8
20,Petrol,45246.0,Manual,1,DL,664499,Honda,6
21,Petrol,12511.0,Manual,1,DL,340499,Hyundai,8
22,Petrol,6344.0,Automatic,1,DL,821699,Renault,1
23,Diesel,2213.0,Manual,1,DL,1213499,Hyundai,1
24,Petrol,9370.0,Manual,1,UP,1213599,Maruti,1
25,Petrol,11399.0,Manual,1,UP,783699,Skoda,2
26,Petrol,48915.0,Manual,2,DL,244099,Maruti,12
27,Petrol,51105.0,Automatic,1,DL,711899,Honda,8
28,Diesel,90086.0,Automatic,2,HR,1577799,Toyota,7
29,Petrol,66782.0,Manual,2,DL,288599,Hyundai,11
30,Petrol,42422.0,Manual,2,DL,270399,Hyundai,12
31,Petrol,13223.0,Manual,2,DL,592299,Hyundai,2
32,Petrol,34566.0,Manual,1,DL,423899,Honda,12
33,Diesel,42881.0,Automatic,2,DL,1455599,Mercedes,9
34,Petrol,54517.0,Manual,1,DL,649499,Honda,8
35,Petrol,11828.0,Manual,1,HR,925899,Toyota,1
36,Petrol,29645.0,Manual,1,HR,990499,Hyundai,1
37,Petrol,4555.0,Automatic,1,DL,386699,Datsun,4
38,Petrol,7760.0,Automatic,1,UP,556499,Renault,1
39,Petrol,26475.0,Manual,1,DL,235499,Maruti,11
40,Petrol,60774.0,Manual,1,DL,298999,Hyundai,12
41,Petrol,20830.0,Manual,2,DL,318799,Renault,4
42,Petrol,5287.0,Manual,1,DL,910199,Maruti,1
43,Petrol,6962.0,Manual,1,UP,500199,Renault,1
44,Petrol,7212.0,Manual,1,HR,1310699,Honda,2
45,Petrol,2572.0,Manual,1,HR,913999,Renault,1
46,Diesel,29974.0,Manual,1,DL,306299,Hyundai,9
47,Petrol,73937.0,Automatic,1,DL,1268899,Honda,7
48,Petrol,4536.0,Manual,1,HR,1184499,Maruti,1
49,Petrol,30697.0,Manual,3,DL,522799,Hyundai,5
50,Petrol,12855.0,Automatic,1,DL,622699,Hyundai,5
51,Petrol,8717.0,Automatic,1,DL,1812799,MG,3
52,Petrol,40193.0,Manual,1,HR,917099,Hyundai,3
53,Petrol,45277.0,Manual,1,HR,428999,Hyundai,6
54,Petrol,6568.0,Automatic,1,DL,710599,Tata,1
55,Diesel,18191.0,Automatic,1,DL,1104299,Maruti,2
56,Diesel,82295.0,Manual,1,HR,964299,Toyota,8
57,Petrol,23733.0,Manual,2,DL,612599,Honda,4
58,Petrol,9835.0,Manual,1,DL,388399,Mahindra,5
59,Petrol,3120.0,Automatic,1,HR,1802499,Mahindra,1
60,Petrol,51000.0,Manual,1,TN,690000,Maruti,1
61,Diesel,74253.0,Manual,2,DL,475000,Renault,7
62,Petrol,36213.0,Manual,2,MH,400000,Maruti,7
63,Diesel,70000.0,Manual,2,RJ,200000,Ford,9
64,Diesel,135000.0,Manual,4,KR,260000,Maruti,13
65,Diesel,75000.0,Manual,3,KE,480000,Maruti,9
66,Petrol,120000.0,Manual,3,CH,80000,Maruti,13
67,Petrol,50000.0,Automatic,3,TN,65000,Maruti,20
68,Diesel,87000.0,Manual,2,HR,320000,Maruti,9
69,Petrol,51000.0,Automatic,1,OD,800000,Maruti,5
70,Diesel,78000.0,Manual,3,DL,749000,Mahindra,7
71,Diesel,62000.0,Manual,1,MP,160000,Mahindra,11
72,Diesel,64000.0,Manual,1,JK,700000,Hyundai,4
73,ELECTRIC,195000.0,Automatic,2,KE,1525000,Mercedes,7
74,Diesel,198000.0,Manual,4,KE,415000,Toyota,13
75,Diesel,81000.0,Automatic,1,KE,485000,Maruti,4
76,Petrol,15000.0,Manual,1,AS,410000,Maruti,4
77,Petrol,26000.0,Manual,1,AS,640000,Maruti,2
78,Diesel,80500.0,Manual,2,KE,1325000,Toyota,7
79,Petrol,23000.0,Automatic,1,MH,411000,Maruti,8
80,Petrol,60000.0,Manual,2,BI,385000,Hyundai,10
